ClassID,ClassName,SubClassName,Nation,Type,SubType,Existance,ClassLaidDown,StandardDisplacement,FullDisplacement,LengthFull,LengthWL,Breadth,Draught,Engines,ShaftHorsePower,SubmergedShipHorsePower,Fuel,Speed,CruiseSpeed,SubmergedSpeed,SubmergedCruiseSpeed,Range,SubmergedRange,DivingDepth,MainGun,MainBroadside,MainGunTotal,SecondaryGun,SecondaryBroadside,SecondaryGunTotal,MainTorpedoLauncher,MainTorpedoLauncherType,MainTorpedoTubeMax,MainTorpedoTubeTotal,MainTorpedoCount,SecondaryTorpedoLauncher,SecondaryTorpedoLauncherType,SecondaryTorpedoTubeMax,SecondaryTorpedoTubeTotal,SecondaryTorpedoCount,ArmorBeltMat,ArmorBelt,ArmorBeltAngle,ArmorDeck,FlightDeckArea,HangarArea,Catapults,HasSkiJump,Compliment,Source,Wikipedia
tb_tb_i_1875,TB I (1875),TB I (1875),ahn,Attack,Torpedo Boat,Built,1874-05-01,8,10,,20.7,2.6,1.23,2C-EE,90,0,Coal,13,,0,0,,0,0,,0,0,,0,0,,Spar,1,1,2,,,0,0,0,,0,0,0,0,0,0,FALSE,9,https://www.navypedia.org/ships/austrohungary/ah_dd_i.htm,
tb_tb_ii_1878,TB II (1878),TB II (1878),ahn,Attack,Torpedo Boat,Built,1877-09-01,28,,,26.5,3.5,1.55,2C-EE,300,0,Coal,15,,0,0,,0,0,,0,0,,0,0,356mm,Fixed,2,2,,,,0,0,0,,0,0,0,0,0,0,FALSE,10,https://www.navypedia.org/ships/austrohungary/ah_dd_ii.htm,
tb_tb_iii_1879,TB III Class (1879),TB III Class (1879),ahn,Attack,Torpedo Boat,Built,1878-09-01,27,,,26.4,3.3,1.5,2C-EE,430,0,Coal,17.5,,0,0,,0,0,,0,0,,0,0,356mm,Fixed,2,2,,,,0,0,0,,0,0,0,0,0,0,FALSE,10,https://www.navypedia.org/ships/austrohungary/ah_dd_iii.htm,
tb_tb_v_1881,TB V Class (1881),TB V Class (1881),ahn,Attack,Torpedo Boat,Built,1880-03-01,28,30,,27.7,3.3,1.35,2C-EE,430,0,Coal,18.3,,0,0,,0,0,,0,0,,0,0,356mm,Fixed,2,2,,,,0,0,0,,0,0,0,0,0,0,FALSE,10,https://www.navypedia.org/ships/austrohungary/ah_dd_v.htm,
tb_tb_ix_1881,TB IX Class (1881),TB IX Class (1881),ahn,Attack,Torpedo Boat,Built,1881-02-01,37,47,,31.2,3.7,1.6,2C-EE,500,0,Coal,18,,0,0,,0,0,,1,1,,0,0,356mm,Fixed,2,2,,,,0,0,0,,0,0,0,0,0,0,FALSE,15,https://www.navypedia.org/ships/austrohungary/ah_dd_ix.htm,
tb_adler_1886,Adler Class (1886),Adler Class (1886),ahn,Attack,Torpedo Boat,Built,1884-12-01,95,100,,41.2,4.2,1.7,2C-EE,1300,0,Coal,22,,0,0,,0,0,,2,2,,0,0,356mm,Fixed,2,2,,,,0,0,0,,0,0,0,0,0,0,FALSE,16,https://www.navypedia.org/ships/austrohungary/ah_dd_adler.htm,
tb_bussard_1886,Schichau Class (1886),Bussard Class (1886),ahn,Attack,Torpedo Boat,Built,1885-09-01,78,88,,39.9,4.8,1.9,3C-EE,1000,0,Coal,19,10,0,0,1200,0,0,,2,2,,0,0,356mm,Fixed,1,1,,356mm,Mount,1,1,1,,0,0,0,0,0,0,FALSE,16,https://www.navypedia.org/ships/austrohungary/ah_dd_bussard.htm,
tb_sperber_1886,Schichau Class (1886),Sperber Class (1886),ahn,Attack,Torpedo Boat,Built,1885-12-01,78,83,,39.9,4.8,1.9,3C-EE,970,0,Coal,18.5,10,0,0,1200,0,0,,2,2,,0,0,356mm,Fixed,2,2,,,,0,0,0,,0,0,0,0,0,0,FALSE,16,https://www.navypedia.org/ships/austrohungary/ah_dd_sperber.htm,
tb_tb_xxvii_1886,TB XXVII Class (1886),TB XXVII Class (1886),ahn,Attack,Torpedo Boat,Built,1886-01-01,47,55,,34.3,3.8,1.7,2C-EE,600,0,Coal,19,,0,0,,0,0,,1,1,,0,0,356mm,Fixed,2,2,,,,0,0,0,,0,0,0,0,0,0,FALSE,16,https://www.navypedia.org/ships/austrohungary/ah_dd_xxvii.htm,
tb_tb_xxxiii_1887,TB XXXIII Class (1887),TB XXXIII Class (1887),ahn,Attack,Torpedo Boat,Built,1887-01-01,66,70,,36.8,4.5,1.9,2C-EE,700,0,Coal,17,,0,0,,0,0,,2,2,,0,0,356mm,Fixed,2,2,,,,0,0,0,,0,0,0,0,0,0,FALSE,16,https://www.navypedia.org/ships/austrohungary/ah_dd_xxxiii.htm,
