FittingID,BatteryID,AmmoID,BatteryRole,BatteryIndex
bb_iowa,406-ag-3-iowa_abx,406-ap-mk8,Primary Gun,1
bb_iowa,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_iowa,28-p-quad_x4,28-het-mk1,AA Battery,3
bb_iowa,12-p-mk3_x12,12-b-us,AA Battery,4
bb_iowa|iowa_1942,406-ag-3-iowa_abx,406-ap-mk8,Primary Gun,1
bb_iowa|iowa_1942,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_iowa|iowa_1942,40-t-mk2_x15,40-he-mk1,AA Battery,3
bb_iowa|iowa_1942,20-p-mk6_x60,20-he-mk3,AA Battery,4
bb_iowa|iowa_1943_11,406-ag-3-iowa_abx,406-ap-mk8,Primary Gun,1
bb_iowa|iowa_1943_11,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_iowa|iowa_1943_11,40-t-mk2_x19,40-he-mk1,AA Battery,3
bb_iowa|iowa_1943_11,20-p-mk6_x52,20-he-mk3,AA Battery,4
bb_iowa|iowa_1945,406-ag-3-iowa_abx,406-ap-mk8,Primary Gun,1
bb_iowa|iowa_1945,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_iowa|iowa_1945,40-t-mk2_x19,40-he-mk1,AA Battery,3
bb_iowa|iowa_1945,20-p-mk24_x8,20-he-mk3,AA Battery,4
bb_iowa|iowa_1945,20-p-mk6_x52,20-he-mk3,AA Battery,4
bb_iowa|iowa_1945_11,406-ag-3-iowa_abx,406-ap-mk8,Primary Gun,1
bb_iowa|iowa_1945_11,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_iowa|iowa_1945_11,40-t-mk2_x19,40-he-mk1,AA Battery,3
bb_iowa|iowa_1945_11,20-p-mk24_x8,20-he-mk3,AA Battery,4
bb_iowa|iowa_1945_11,20-p-mk6_x52,20-he-mk3,AA Battery,4
bb_iowa|iowa_1946,406-ag-3-iowa_abx,406-ap-mk8,Primary Gun,1
bb_iowa|iowa_1946,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_iowa|iowa_1946,40-t-mk2_x15,40-he-mk1,AA Battery,3
bb_iowa|iowa_1951,406-ag-3-iowa_abx,406-ap-mk8,Primary Gun,1
bb_iowa|iowa_1951,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_iowa|iowa_1951,40-t-mk2_x19,40-he-mk1,AA Battery,3
bb_iowa|iowa_1955,406-ag-3-iowa_abx,406-ap-mk8,Primary Gun,1
bb_iowa|iowa_1955,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_iowa|iowa_1955,40-t-mk2_x15,40-he-mk1,AA Battery,3
bb_iowa|1942,406-ag-3-iowa_abx,406-ap-mk8,Primary Gun,1
bb_iowa|1942,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_iowa|1942,40-t-mk2_x20,40-he-mk1,AA Battery,3
bb_iowa|1942,20-p-mk6_x49,20-he-mk3,AA Battery,4
bb_iowa|wisconsin,406-ag-3-iowa_abx,406-ap-mk8,Primary Gun,1
bb_iowa|wisconsin,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_iowa|wisconsin,40-t-mk2_x20,40-he-mk1,AA Battery,3
bb_iowa|wisconsin,20-p-mk24_x2,20-he-mk3,AA Battery,4
bb_iowa|wisconsin,20-p-mk6_x49,20-he-mk3,AA Battery,4
bb_iowa|1945,406-ag-3-iowa_abx,406-ap-mk8,Primary Gun,1
bb_iowa|1945,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_iowa|1945,40-t-mk2_x20,40-he-mk1,AA Battery,3
bb_iowa|1945,20-p-mk24_x8,20-he-mk3,AA Battery,4
bb_iowa|1945,20-p-mk6_x49,20-he-mk3,AA Battery,4
bb_iowa|1945_11,406-ag-3-iowa_abx,406-ap-mk8,Primary Gun,1
bb_iowa|1945_11,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_iowa|1945_11,40-t-mk2_x20,40-he-mk1,AA Battery,3
bb_iowa|1945_11,20-p-mk24_x8,20-he-mk3,AA Battery,4
bb_iowa|1945_11,20-p-mk6_x49,20-he-mk3,AA Battery,4
bb_iowa|1946,406-ag-3-iowa_abx,406-ap-mk8,Primary Gun,1
bb_iowa|1946,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_iowa|1946,40-t-mk2_x16,40-he-mk1,AA Battery,3
bb_iowa|1950,406-ag-3-iowa_abx,406-ap-mk8,Primary Gun,1
bb_iowa|1950,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_iowa|1950,40-t-mk2_x20,40-he-mk1,AA Battery,3
bb_iowa|1950,20-p-mk24_x16,20-he-mk3,AA Battery,4
bb_iowa|1951,406-ag-3-iowa_abx,406-ap-mk8,Primary Gun,1
bb_iowa|1951,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_iowa|1951,40-t-mk2_x20,40-he-mk1,AA Battery,3
bb_iowa|1953,406-ag-3-iowa_abx,406-ap-mk8,Primary Gun,1
bb_iowa|1953,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_iowa|1953,40-t-mk2_x18,40-he-mk1,AA Battery,3
bb_iowa|wisconsin_1956,406-ag-3-iowa_abx,406-ap-mk8,Primary Gun,1
bb_iowa|wisconsin_1956,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
bb_iowa|wisconsin_1956,40-t-mk2_x16,40-he-mk1,AA Battery,3
bb_iowa|wisconsin_1956,20-p-mk24_x16,20-he-mk3,AA Battery,4
bb_iowa|1967,406-ag-3-iowa_abx,406-ap-mk8,Primary Gun,1
bb_iowa|1967,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
cb_alaska,305-ag-3gun-turret_aby,305-ap-mk18,Primary Gun,1
cb_alaska,127-ag-mk32_x6,127-spc-mk32_127-aac-mk34,Secondary Gun,2
cb_alaska,40-t-mk2_x14-alaska,40-he-mk1,AA Battery,3
cb_alaska,20-p-mk6_x34-alaska,20-he-mk3,AA Battery,4
bb_north_carolina,406-ag-3_abx,406-ap-mk8,Primary Gun,1
bb_north_carolina,127-ag-mk28_x10,127-spc-mk32_127-aac-mk34,Secondary Gun,2
