GunMountID,MountCaliber,GunMountName,GunMountNation,GunMountType,GunID,NumberOfGuns,MaxElevation,MountSource
460-ag-type94,460,40cm/45 Type 94,japan,Armored Gunhouse,460-bg-type94,3,45,http://www.navweaps.com/Weapons/WNJAP_18-45_t94.php
457-ag-b,457,"18""/40 B",britain,Armored Gunhouse,457-bg-marki,1,30,http://www.navweaps.com/Weapons/WNBR_18-40_mk1.php
412-ct-marki,412,"16.25""/30 Mark 1",britain,Coles Turret,412-bg-marki,2,13,http://www.navweaps.com/Weapons/WNBR_162-30_mk1.php
412-bar-marki,412,"16.25""/30 Mark 1 Barbette",britain,Barbette,412-bg-marki,1,13,http://www.navweaps.com/Weapons/WNBR_162-30_mk1.php
410-ag-3rd-year-new,410,41cm/45 3rd Year Type New,japan,Armored Gunhouse,410-bg-3rd-year,2,35,http://www.navweaps.com/Weapons/WNJAP_161-45_3ns.php
410-ag-3rd-year,410,41cm/45 3rd Year Type,japan,Armored Gunhouse,410-bg-3rd-year,2,30,http://www.navweaps.com/Weapons/WNJAP_161-45_3ns.php
406-ct-rml-80ton,406,"16""/18 RML 80-ton Twin Turret",britain,Coles Turret,406-ml-rml-80ton,2,,https://en.wikipedia.org/wiki/RML_16-inch_80-ton_gun
406-ag-3-iowa,406,"16""/50 3-Gun Turret",usa,Armored Gunhouse,406-bg-mk7,3,45,http://www.navweaps.com/Weapons/WNUS_16-50_mk7.php#Mount%2FTurret_Data
406-ag-3,406,"16""/45 3-Gun Turret",usa,Armored Gunhouse,406-bg-mk6,3,45,http://www.navweaps.com/Weapons/WNUS_16-45_mk6.php#Mount%2FTurret_Data
406-ag-2-mod,406,"16""/45 2-Gun Turret",usa,Armored Gunhouse,406-bg-mk5,2,30,http://www.navweaps.com/Weapons/WNUS_16-45_mk5.php#Mount%2FTurret_Data
406-ag-2-sd,406,"16""/50 3-Gun Turret",usa,Armored Gunhouse,406-bg-mk2,3,40,http://www.navweaps.com/Weapons/WNUS_16-50_mk2.php#Mount%2FTurret_Data
406-ag-2-lex,406,"16""/50 2-Gun Turret",usa,Armored Gunhouse,406-bg-mk2,2,40,http://www.navweaps.com/Weapons/WNUS_16-50_mk2.php#Mount%2FTurret_Data
406-ag-2,406,"16""/45 2-Gun Turret",usa,Armored Gunhouse,406-bg-mk1,2,30,http://www.navweaps.com/Weapons/WNUS_16-45_mk1.php#Mount%2FTurret_Data
406-ag-markii,406,"16""/45 Mark II",britain,Armored Gunhouse,406-bg-markii,3,40,http://www.navweaps.com/Weapons/WNBR_16-45_mk2.php
406-ag-marki,406,"16""/45 Mark I",britain,Armored Gunhouse,406-bg-marki,3,40,http://www.navweaps.com/Weapons/WNBR_16-45_mk1.php
406-ag-mk-1,406,406mm/50 MK-1,russia,Armored Gunhouse,406-bg-b37-p1937,3,45,http://www.navweaps.com/Weapons/WNRussian_16-50_m1937.php
381-ag-v1914,381,381mm/40 Vickers 1914,italy,Armored Gunhouse,381-bg-v1914,2,20,http://www.navweaps.com/Weapons/WNIT_15-40_m1914.php
381-ag-markii,381,"15""/42 Mark II",britain,Armored Gunhouse,381-bg-marki,2,30,http://www.navweaps.com/Weapons/WNBR_15-42_mk1.php
381-ag-marki-n-rp12,381,"15""/42 Mark I/N RP 12",britain,Armored Gunhouse,381-bg-marki,2,30,http://www.navweaps.com/Weapons/WNBR_15-42_mk1.php
381-ag-marki,381,"15""/42 Mark I",britain,Armored Gunhouse,381-bg-marki,2,20,http://www.navweaps.com/Weapons/WNBR_15-42_mk1.php
381-ag-m1934,381,381mm/50 Model 1934,italy,Armored Gunhouse,381-bg-m1934,3,35,http://www.navweaps.com/Weapons/WNIT_15-50_m1934.php
381-ag-an1914,381,381mm/40 Ansaldo 1914,italy,Armored Gunhouse,381-bg-an1914,2,20,http://www.navweaps.com/Weapons/WNIT_15-40_m1914.php
381-ag-a1914,381,381mm/40 Armstrong 1914,italy,Armored Gunhouse,381-bg-a1914,2,20,http://www.navweaps.com/Weapons/WNIT_15-40_m1914.php
380-ag-drh-lc1914,380,38cm/42.5 Drh L. C/1914,germany,Armored Gunhouse,380-bg-sk-l45,2,20,http://www.navweaps.com/Weapons/WNGER_15-45_skc13.php
380-ag-drh-lc1913-20,380,38cm/42.5 Drh L. C/1913,germany,Armored Gunhouse,380-bg-sk-l45,2,20,http://www.navweaps.com/Weapons/WNGER_15-45_skc13.php
380-ag-drh-lc1913,380,38cm/42.5 Drh L. C/1913,germany,Armored Gunhouse,380-bg-sk-l45,2,16,http://www.navweaps.com/Weapons/WNGER_15-45_skc13.php
380-ag-drh-lc34,380,38cm/48 Drh L. C/34,germany,Armored Gunhouse,380-bg-sk-c34,2,30,http://www.navweaps.com/Weapons/WNGER_15-52_skc34.php
380-ag-m1935,380,380mm/45 Model 1935,france,Armored Gunhouse,380-bg-m1935,4,35,http://www.navweaps.com/Weapons/WNFR_15-45_m1935.php
370-bar-m1875-79-3,370,370mm/28 Model 1875-79,france,Barbette,370-bg-m1875-79-3,1,,https://en.wikipedia.org/wiki/Amiral_Baudin-class_ironclad#Armament_and_armor
370-bar-m1875-79-2,370,370mm/28 Model 1875-79,france,Barbette,370-bg-m1875-79-2,1,,https://en.wikipedia.org/wiki/Amiral_Baudin-class_ironclad#Armament_and_armor
370-bar-m1875-79,370,370mm/28 Model 1875-79,france,Barbette,370-bg-m1875-79,1,,https://en.wikipedia.org/wiki/Amiral_Baudin-class_ironclad#Armament_and_armor
356-ag-p1913,356,356mm/50 Pattern 1913,russia,Armored Gunhouse,356-bg-p1913,3,25,http://www.navweaps.com/Weapons/WNRussian_14-52_mk6.php
356-ag-3-mod3,356,"14""/45 3-Gun Turret",usa,Armored Gunhouse,356-bg-mk8,3,30,http://www.navweaps.com/Weapons/WNUS_14-45_mk10.php#Mount%2FTurret_Data
356-ag-2-mod2,356,"14""/45 2-Gun Turret",usa,Armored Gunhouse,356-bg-mk8,2,30,http://www.navweaps.com/Weapons/WNUS_14-45_mk10.php#Mount%2FTurret_Data
356-ag-2-mod1,356,"14""/45 2-Gun Turret",usa,Armored Gunhouse,356-bg-mk8,2,15,http://www.navweaps.com/Weapons/WNUS_14-45_mk10.php#Mount%2FTurret_Data
356-ag-3-mod2,356,"14""/50 3-Gun Turret",usa,Armored Gunhouse,356-bg-mk7,3,30,http://www.navweaps.com/Weapons/WNUS_14-50_mk11.php#Mount%2FTurret_Data
356-ag-3-4-mod1,356,"14""/50 3-Gun Turret",usa,Armored Gunhouse,356-bg-mk4,3,30,http://www.navweaps.com/Weapons/WNUS_14-50_mk4.php#Mount%2FTurret_Data
356-ag-3-4,356,"14""/50 3-Gun Turret",usa,Armored Gunhouse,356-bg-mk4,3,15,http://www.navweaps.com/Weapons/WNUS_14-50_mk4.php#Mount%2FTurret_Data
356-ag-3-mod1,356,"14""/45 3-Gun Turret",usa,Armored Gunhouse,356-bg-mk1,3,30,http://www.navweaps.com/Weapons/WNUS_14-50_mk4.php#Mount%2FTurret_Data
356-ag-3,356,"14""/45 3-Gun Turret",usa,Armored Gunhouse,356-bg-mk1,3,15,http://www.navweaps.com/Weapons/WNUS_14-45_mk1.php#Mount%2FTurret_Data
356-ag-2,356,"14""/45 2-Gun Turret",usa,Armored Gunhouse,356-bg-mk1,2,15,http://www.navweaps.com/Weapons/WNUS_14-45_mk1.php#Mount%2FTurret_Data
356-ag-markiii,356,"14""/45 Mark III",britain,Armored Gunhouse,356-bg-markvii,4,40,http://www.navweaps.com/Weapons/WNBR_14-45_mk7.php
356-ag-markii,356,"14""/45 Mark II",britain,Armored Gunhouse,356-bg-markvii,2,40,http://www.navweaps.com/Weapons/WNBR_14-45_mk7.php
356-ag-marki,356,"14""/45 Mark I",britain,Armored Gunhouse,356-bg-markvii,2,20,http://www.navweaps.com/Weapons/WNBR_14-45_mk1.php
356-ag-bethlehem,356,"14""/45 Bethlehem",greece,Armored Gunhouse,356-bg-bethlehem,2,15,http://www.navweaps.com/Weapons/WNUS_14-45_mk1.php#Mount%2FTurret_Data
356-ag-41st-year-bc-43,356,36cm/45 41st Year Type (BC),japan,Armored Gunhouse,356-bg-41st-year,2,43,http://www.navweaps.com/Weapons/WNJAP_14-45_t41.php
356-ag-41st-year-bc-33,356,36cm/45 41st Year Type (BC),japan,Armored Gunhouse,356-bg-41st-year,2,33,http://www.navweaps.com/Weapons/WNJAP_14-45_t41.php
