GunID,GunName,GunDesign,GunNation,GunDateOfDesign,GunCaliber,GunLength,GunWeight,GunMaxRateOfFire,GunNominalRateOfFire,GunLoading,SurfaceShellVelocity,AAShellVelocity,GunAmmo,GunsSource
457-bg-marki,"18""/40 Mark I","British 18""",britain,1915-01-01,457,40,148000,1,1,Breech,683,0,60,http://www.navweaps.com/Weapons/WNBR_18-40_mk1.php
406-bg-markii,"16""/45 Mark II","British 16""",britain,1938-01-01,406,45,120656,2,1.8,Breech,747,0,100,http://www.navweaps.com/Weapons/WNBR_16-45_mk2.php
406-bg-marki,"16""/45 Mark I","British 16""",britain,1922-01-01,406,45,109700,1.3,0.75,Breech,788,0,100,http://www.navweaps.com/Weapons/WNBR_16-45_mk1.php
381-bg-v1914,381mm/40 Vickers 1914,Vickers 381mm,britain,1914-01-01,381,40,83825,2,1.5,Breech,700,700,,http://www.navweaps.com/Weapons/WNIT_15-40_m1914.php
381-bg-an1914,381mm/40 Ansaldo 1914,Gio. Ansaldo 381mm,britain,1914-01-01,381,40,62600,2,1.5,Breech,700,700,,http://www.navweaps.com/Weapons/WNIT_15-40_m1914.php
381-bg-a1914,381mm/40 Armstrong 1914,Armstrong 381mm,britain,1914-01-01,381,40,84900,2,1.5,Breech,700,700,,http://www.navweaps.com/Weapons/WNIT_15-40_m1914.php
381-bg-marki-ii,"15""/42 Mark I","British 15""",britain,1912-01-01,381,42,101605,2.1,1.9,Breech,752,0,100,http://www.navweaps.com/Weapons/WNBR_15-42_mk1.php
381-bg-marki,"15""/42 Mark I","British 15""",britain,1912-01-01,381,42,101605,1.9,1.6,Breech,752,0,100,http://www.navweaps.com/Weapons/WNBR_15-42_mk1.php
356-bg-markvii,"14""/45 Mark VII","British 14""",britain,1937-01-01,356,45,80865,2,2,Breech,757,0,100,http://www.navweaps.com/Weapons/WNBR_14-45_mk7.php
356-bg-markvii,"14""/45 BL Mark I","Vickers 14""",britain,1910-01-01,356,45,86110,2,2,Breech,762,0,100,http://www.navweaps.com/Weapons/WNBR_14-45_mk1.php
356-bg-41st-year,36cm/45 41st Year Type,"Vickers 14""",britain,1910-01-01,356,45,86000,2,2,Breech,770,0,90,http://www.navweaps.com/Weapons/WNJAP_14-45_t41.php
