LocationID,LocationName,LocationType,LocationNation,PinID,LocationURL
hulk_hms_bronnington,HMS Bronnington,Wreck,britain,hulk_hms_bronnington,
m_131_nanjing,131 Nanjing Ship,Museum,china,m_131_nanjing,
m_aurora,Cruiser Aurora,Museum,russia,m_aurora,https://navalmuseum.ru/filials/cruiser_aurora/
m_australian_nationa_maritime,Australian National Maritime Museum,Museum,australia,m_australian_nationa_maritime,http://www.sea.museum/
m_b_413,B-413 Submarine,Museum,china,m_b_413,
m_battleship_cove,Battleship Cove,Museum,usa,m_battleship_cove,https://www.battleshipcove.org/
m_battleship_oregon_memorial_park,Battleship Oregon Memorial Park,Museum,usa,m_battleship_oregon_memorial_park,
m_bespokoyny,Destroyer Bespokoyny,Museum,russia,m_bespokoyny,
m_blyskawica,ORP Blyskawica,Museum,poland,m_blyskawica,https://muzeummw.pl/
m_buffalo_naval_park,Buffalo Naval Park,Museum,usa,m_buffalo_naval_park,http://buffalonavalpark.org/
m_c_189,Submarine C-189,Museum,russia,m_c_189,http://museum-s-189.ru/
m_chatham_historic_dockyard,Historic Dockyard Chatham,Museum,britain,m_chatham_historic_dockyard,http://thedockyard.co.uk/
m_deyang_ship_park,Navy Destroyer Deyang Ship Park,Museum,taiwan,m_deyang_ship_park,http://www.teyang925.com.tw/
m_galveston_naval_museum,Galveston Naval Museum,Museum,usa,m_galveston_naval_museum,http://www.galvestonnavalmuseum.com/
m_gangneung_unification_park,Gangneung Unification Park,Museum,south_korea,m_gangneung_unification_park,
m_gayret_gemi,Gayret Gemi Museum,Museum,turkey,m_gayret_gemi,https://denizmuzeleri.dzkk.tsk.tr/v1/izmit-muze-gemiler-mudurlugu
m_historic_ships_baltimore,Historic Ships in Baltimore,Museum,usa,m_historic_ships_baltimore,http://historicships.org/
m_hmas_castlemaine,HMAS Castlemaine,Museum,australia,m_hmas_castlemaine,http://hmascastlemaine.org.au/
m_hmcs_haida,HMCS Haida,Museum,canada,m_hmcs_haida,https://parks.canada.ca/lhn-nhs/on/haida
m_hmcs_ojibwa,Museum Of Naval History - HMCS Ojibwa,Museum,canada,m_hmcs_ojibwa,http://www.hmcsojibwa.ca/
m_hmcs_onondaga,Sous-marin Onondaga,Museum,canada,m_hmcs_onondaga,https://www.shmp.qc.ca/
m_hms_belfast,HMS Belfast,Museum,britain,m_hms_belfast,https://www.iwm.org.uk/visits/hms-belfast
m_hms_bronnington_salford,HMS Bronnington (Salford Quays),Museum,britain,m_hms_bronnington_salford,
m_hms_caroline,Royal Navy Museums: HMS Caroline,Museum,britain,m_hms_caroline,https://tickets.royalnavymuseums.org.uk/en/hms-caroline/hmsc-tickets?date=2026-05-30&session_id=338703722&utm_medium=ttd--&utm_campaign=394510_bfs_maps_nav&utm_source=google&utm_term=en-US
m_hs_velos,HS Velos (D-16) Museum Ship,Museum,greece,m_hs_velos,https://velos.hellenicnavy.gr/
m_jmsdf_kure_museum,Japan Maritime Self-Defense Force Kure Museum,Museum,japan,m_jmsdf_kure_museum,https://www.jmsdf-kure-museum.go.jp/
m_k_g_sakharov_park,K.G. Sakharov History of Technology Park Complex ,Museum,russia,m_k_g_sakharov_park,https://pkitis.tltsu.ru/
m_karlskrona_naval_museum,Karlskrona Naval Museum,Museum,sweden,m_karlskrona_naval_museum,https://www.marinmuseum.se/
m_memorial_odessa,Memorial to heroic defence of Odessa - 411th Battery,Museum,ukraine,m_memorial_odessa,
m_mikasa,Mikasa Memorial Warship,Museum,japan,m_mikasa,http://www.kinenkan-mikasa.or.jp/
m_mikhail_kutuzov,Mikhail Kutuzov Cruiser,Museum,russia,m_mikhail_kutuzov,http://www.navalmuseum.ru/filials/cruiser_mikhail_kutuzov
m_muskogee_war_memorial,Muskogee War Memorial Park: Home of the USS Batfish,Museum,usa,m_muskogee_war_memorial,http://www.ussbatfish.com/
m_nanchang_naval_vessel_theme_park,Nanchang Naval Vessel Theme Park,Museum,china,m_nanchang_naval_vessel_theme_park,
m_nauticus_national_museum,Nauticus National Maritime Center,Museum,usa,m_nauticus_national_museum,http://www.nauticus.org/
m_navy_museum_den_helder,Navy Museum in Den Helder,Museum,netherlands,m_navy_museum_den_helder,http://www.marinemuseum.nl/
m_new_jersey_naval_museum,New Jersey Naval Museum,Museum,usa,m_new_jersey_naval_museum,
m_olympia_becuna_museum,Cruiser Olympia and Submarine Becuna at Independence Seaport Museum,Museum,usa,m_olympia_becuna_museum,https://www.phillyseaport.org/
m_pacific_battleship_center,Pacific Battleship Center,Museum,usa,m_pacific_battleship_center,http://www.pacificbattleship.com/
m_pacific_fleet_submarine_museum,Pacific Fleet Submarine Museum,Museum,usa,m_pacific_fleet_submarine_museum,https://www.bowfin.org/
m_parque_jaime_duque,Parque Jaime Duque,Museum,colombia,m_parque_jaime_duque,http://www.parquejaimeduque.com/
m_patriots_point,Patriots Point Naval & Maritime Museum,Museum,usa,m_patriots_point,http://www.patriotspoint.org/
m_port_natal,Port Natal Maritime Museum,Museum,south_africa,m_port_natal,http://www.durban.gov.za/
m_portsmouth_historic_dockyard,Portsmouth Historic Dockyard,Museum,britain,m_portsmouth_historic_dockyard,https://www.historicdockyard.co.uk/
m_pretoria,Pretoria,Museum,south_africa,m_pretoria,https://tcaminesweepers.co.uk/ship-details/ton-class/dunkerton-m1144/
m_qingdao_naval_museum,Qingdao Naval Museum,Museum,china,m_qingdao_naval_museum,http://www.hjbwg.com/
m_queensland_maritime,Queensland Maritime Museum,Museum,australia,m_queensland_maritime,https://www.maritimemuseum.com.au/
m_royal_navy_submarines,Royal Navy Museums: Submarines,Museum,britain,m_royal_navy_submarines,https://historicdockyard.co.uk/discover/rn-submarine-museum/
m_sacrario_delle_bandiere,Sacrario delle Bandiere,Museum,italy,m_sacrario_delle_bandiere,https://www.difesa.it/smd/ramdife/sacrariodellebandiere/index/28855.html
m_saginaw_velley,Saginaw Valley Naval Ship Museum,Museum,usa,m_saginaw_velley,http://www.svnsm.com/
