Namesake,NamingCategory_1,NamingCategory_2,NamingSource
Manxman,_Lingual,Demonym,https://en.wikipedia.org/wiki/Manxman
Amethyst,_Lingual,Gemstone,https://en.wikipedia.org/wiki/Amethyst
Diamond,_Lingual,Gemstone,https://en.wikipedia.org/wiki/Diamond
Emerald,_Lingual,Gemstone,https://en.wikipedia.org/wiki/Emerald
Pearl,_Lingual,Gemstone,https://en.wikipedia.org/wiki/Pearl
Sapphire,_Lingual,Gemstone,https://en.wikipedia.org/wiki/Sapphire
Topaze,_Lingual,Gemstone,https://en.wikipedia.org/wiki/Diamond
Ocean,_Lingual,Geography,https://en.wiktionary.org/wiki/Ocean
Crescent,_Lingual,Heraldic Symbol,
Arrow,_Lingual,Object,https://en.wiktionary.org/wiki/arrow
Aspis,_Lingual,Object,https://en.wikipedia.org/wiki/Aspis
Cape,_Lingual,Object,https://en.wikipedia.org/wiki/Cape
Crown,_Lingual,Object,https://en.wikipedia.org/wiki/Crown
Diadem,_Lingual,Object,https://en.wikipedia.org/wiki/Diadem
Rosary,_Lingual,Object,https://en.wikipedia.org/wiki/Rosary
Sling,_Lingual,Object,https://en.wikipedia.org/wiki/Sling_(weapon)
Spear,_Lingual,Object,https://en.wikipedia.org/wiki/Spear
Torch,_Lingual,Object,
Trident,_Lingual,Object,https://en.wikipedia.org/wiki/Trident
Dread Nought,_Lingual,Poetic Phrase,https://en.wikipedia.org/wiki/HMS_Dreadnought
Eight-fold Clouds,_Lingual,Poetic Phrase,https://en.wikipedia.org/wiki/Kojiki
Field of a Thousand Generations,_Lingual,Poetic Phrase,https://en.wikipedia.org/wiki/Chiyoda
Girl of my Heart,_Lingual,Poetic Phrase,https://en.wikipedia.org/wiki/Manx_language
Swift and Sure,_Lingual,Poetic Phrase,
Thousand Years,_Lingual,Poetic Phrase,https://en.wikipedia.org/wiki/Chitose
La Marseillaise,_Lingual,Song,https://en.wikipedia.org/wiki/La_Marseillaise
Ameer,_Lingual,Title,https://en.wikipedia.org/wiki/Emir
Atheling,_Lingual,Title,https://en.wikipedia.org/wiki/%C3%86theling
Begum,_Lingual,Title,https://en.wikipedia.org/wiki/Begum
Earl of Carysfort,_Lingual,Title,https://en.wikipedia.org/wiki/Earl_of_Carysfort
Emperor,_Lingual,Title,https://en.wikipedia.org/wiki/Emperor
Emperor of India,_Lingual,Title,https://en.wikipedia.org/wiki/Emperor_of_India
Empress,_Lingual,Title,https://en.wikipedia.org/wiki/Emperor
Khedive,_Lingual,Title,https://en.wikipedia.org/wiki/Khedive
Lord Warden of the Cinque Ports,_Lingual,Title,https://en.wikipedia.org/wiki/Lord_Warden_of_the_Cinque_Ports
Nawab,_Lingual,Title,https://en.wikipedia.org/wiki/Nawab
Premier,_Lingual,Title,https://en.wikipedia.org/wiki/Premier
President,_Lingual,Title,https://en.wikipedia.org/wiki/President_(government_title)
Priestesses of Vesta,_Lingual,Title,https://en.wikipedia.org/wiki/Vestal_Virgin
Prince of Wales,_Lingual,Title,https://en.wikipedia.org/wiki/Prince_of_Wales
Queen,_Lingual,Title,https://en.wikipedia.org/wiki/Queen_regnant
Rajah,_Lingual,Title,https://en.wikipedia.org/wiki/Raja
Rani,_Lingual,Title,https://en.wikipedia.org/wiki/Rani
Shah,_Lingual,Title,https://en.wikipedia.org/wiki/Shah
Thane,_Lingual,Title,https://en.wikipedia.org/wiki/Thane_(Scotland)
Tribune,_Lingual,Title,https://en.wikipedia.org/wiki/Tribune
Intrepid,_Lingual,Virtue,https://en.wiktionary.org/wiki/intrepid
Active,_Lingual,,
Activity,_Lingual,,https://en.wiktionary.org/wiki/activity
Adventure,_Lingual,,
Alert,_Lingual,,
Arbiter,_Lingual,,https://en.wiktionary.org/wiki/arbiter
Archer,_Lingual,,https://en.wiktionary.org/wiki/archer
Arrogant,_Lingual,,
Astronomer,_Lingual,,https://en.wiktionary.org/wiki/astronomer
Attacker,_Lingual,,
Attentive,_Lingual,,
Audacious,_Lingual,,
Audacity,_Lingual,,
Avenger,_Lingual,,
Aventurier,_Lingual,,
Aviator,_Lingual,,
